text,congruent,letterColor,correctResponse,reactionTime,participant,group
blue,cong,blue,1,1.076739626,1,L1
blue,incong,green,1,1.216491585,1,L1
green,cong,green,1,1.015886167,1,L1
red,cong,red,1,0.921247538,1,L1
red,incong,green,1,1.156696,1,L1
red,cong,red,1,0.965461124,1,L1
red,incong,blue,1,0.927329701,1,L1
green,cong,green,1,0.571405403,1,L1
blue,incong,red,1,1.585865756,1,L1
blue,cong,blue,1,0.838077957,1,L1
green,incong,blue,1,1.735684571,1,L1
green,incong,red,1,1.50961319,1,L1
green,incong,blue,1,1.608805208,1,L1
blue,incong,green,1,0.991142333,1,L1
green,cong,green,1,0.858446925,1,L1
blue,incong,red,1,1.002052651,1,L1
red,cong,red,1,0.783826764,1,L1
blue,cong,blue,1,0.768414091,1,L1
red,incong,green,1,0.810591645,1,L1
red,cong,red,1,0.850796995,1,L1
blue,cong,blue,1,0.763733379,1,L1
red,incong,blue,1,1.592513827,1,L1
green,cong,green,1,0.630493538,1,L1
green,incong,red,1,1.032660549,1,L1
blue,incong,green,1,1.211880451,1,L1
green,incong,blue,1,1.500920496,1,L1
green,incong,red,1,1.561802123,1,L1
blue,cong,blue,1,1.067680569,1,L1
blue,cong,blue,1,0.635825373,1,L1
red,incong,green,1,0.909228145,1,L1
blue,incong,red,1,1.129892083,1,L1
green,cong,green,1,0.87815413,1,L1
green,cong,green,1,0.513059769,1,L1
red,incong,blue,1,1.46430806,1,L1
red,cong,red,1,3.862101565,1,L1
red,cong,red,1,0.556801952,1,L1
red,cong,red,1,0.490692234,1,L1
blue,cong,blue,1,0.560603539,1,L1
red,incong,green,1,1.072976,1,L1
blue,incong,red,1,0.900966371,1,L1
blue,cong,blue,1,0.740740038,1,L1
red,incong,blue,1,1.385186772,1,L1
green,incong,blue,1,1.599581525,1,L1
red,cong,red,1,0.870797885,1,L1
green,cong,green,1,0.750627029,1,L1
blue,incong,green,1,0.610631333,1,L1
green,cong,green,1,0.571085599,1,L1
green,incong,red,1,0.752365119,1,L1
green,cong,green,1,0.831868026,1,L1
red,cong,red,1,0.638521379,1,L1
blue,cong,blue,1,0.552400038,1,L1
red,incong,blue,1,0.948338529,1,L1
blue,cong,blue,1,0.771849086,1,L1
red,cong,red,1,0.63749211,1,L1
blue,incong,red,1,0.90085,1,L1
green,incong,red,0,0.536082212,1,L1
red,incong,green,1,1.168778484,1,L1
green,cong,green,1,0.691998888,1,L1
blue,incong,green,1,1.085660388,1,L1
green,incong,blue,1,1.148376502,1,L1
green,incong,red,1,0.9945549,2,L1
red,incong,green,0,0.516115318,2,L1
blue,cong,blue,1,0.339966328,2,L1
red,cong,red,1,0.630825242,2,L1
green,incong,blue,1,0.681346559,2,L1
green,cong,green,1,0.64061906,2,L1
blue,cong,blue,1,0.66119728,2,L1
green,cong,green,1,0.658239684,2,L1
red,incong,blue,1,0.790195833,2,L1
blue,incong,green,1,0.869523121,2,L1
red,cong,red,1,0.663840019,2,L1
blue,incong,red,1,0.575054945,2,L1
red,cong,red,1,0.452020243,2,L1
blue,cong,blue,1,0.663015401,2,L1
green,incong,red,1,1.214697133,2,L1
green,cong,green,1,0.671743789,2,L1
blue,incong,red,1,1.044300012,2,L1
green,cong,green,1,0.716255873,2,L1
green,incong,blue,1,0.701089244,2,L1
blue,cong,blue,1,0.573454262,2,L1
red,incong,green,1,0.635323952,2,L1
blue,incong,green,1,1.084727,2,L1
red,cong,red,1,0.626221227,2,L1
red,incong,blue,1,0.632349971,2,L1
red,incong,blue,1,1.006296327,2,L1
green,cong,green,1,0.833568639,2,L1
red,cong,red,1,0.529072643,2,L1
blue,cong,blue,1,0.678029241,2,L1
green,cong,green,1,0.742348584,2,L1
blue,incong,red,1,1.06386378,2,L1
blue,cong,blue,1,0.619022612,2,L1
red,incong,green,1,0.974544658,2,L1
green,incong,red,1,1.606058168,2,L1
blue,incong,green,1,1.045877106,2,L1
red,cong,red,1,0.727438428,2,L1
green,incong,blue,1,1.002376,2,L1
red,cong,red,1,0.784140903,2,L1
red,cong,red,1,0.656347193,2,L1
red,incong,green,1,0.760067677,2,L1
blue,incong,green,1,0.718816609,2,L1
red,incong,blue,1,0.894103655,2,L1
blue,cong,blue,1,0.56829125,2,L1
green,cong,green,1,0.606948059,2,L1
green,incong,red,1,1.177743322,2,L1
blue,incong,red,1,1.089543407,2,L1
green,cong,green,1,0.634160036,2,L1
green,incong,blue,1,1.078549563,2,L1
blue,cong,blue,1,0.737292066,2,L1
blue,cong,blue,1,0.357722759,2,L1
red,incong,green,1,0.724172515,2,L1
red,cong,red,1,0.735723938,2,L1
blue,cong,blue,1,0.855244134,2,L1
green,incong,red,1,1.108174499,2,L1
green,cong,green,1,1.274229908,2,L1
red,cong,red,1,0.773039182,2,L1
red,incong,blue,1,1.030915,2,L1
blue,incong,red,1,0.797949861,2,L1
green,cong,green,1,0.428445193,2,L1
blue,incong,green,0,0.627587679,2,L1
green,incong,blue,1,0.721661096,2,L1
red,incong,green,1,0.787594684,3,L1
blue,cong,blue,1,0.498298022,3,L1
green,incong,blue,1,0.724184973,3,L1
blue,incong,red,1,0.713111597,3,L1
green,cong,green,1,0.51282586,3,L1
red,cong,red,1,0.610584595,3,L1
red,cong,red,1,0.574026199,3,L1
red,incong,blue,1,0.636967572,3,L1
green,cong,green,1,0.562812872,3,L1
green,incong,red,1,1.019595594,3,L1
blue,cong,blue,1,0.732802847,3,L1
blue,incong,green,1,0.9280508,3,L1
red,cong,red,1,0.559609845,3,L1
blue,cong,blue,1,0.815939624,3,L1
blue,incong,green,1,1.259393257,3,L1
green,incong,blue,1,1.40301791,3,L1
red,incong,blue,1,0.640319693,3,L1
blue,incong,red,1,0.553176687,3,L1
blue,cong,blue,1,0.585386251,3,L1
green,incong,red,1,1.587147879,3,L1
green,cong,green,1,0.633096938,3,L1
red,cong,red,1,1.247665303,3,L1
green,cong,green,1,0.847564358,3,L1
red,incong,green,1,0.842542738,3,L1
green,cong,green,1,0.639368179,3,L1
red,incong,green,1,0.484240361,3,L1
red,cong,red,1,0.65187636,3,L1
blue,cong,blue,1,0.820605144,3,L1
green,incong,blue,1,0.875857155,3,L1
blue,incong,green,1,0.769493702,3,L1
blue,incong,red,1,0.9493479,3,L1
green,incong,red,1,0.648034663,3,L1
blue,cong,blue,1,0.651612682,3,L1
green,cong,green,1,1.22731007,3,L1
red,cong,red,1,0.636387459,3,L1
red,incong,blue,1,0.714046987,3,L1
blue,incong,green,1,0.731190821,3,L1
blue,cong,blue,1,0.685552708,3,L1
green,incong,red,1,1.615754931,3,L1
red,incong,green,1,0.717939504,3,L1
green,cong,green,1,0.960647561,3,L1
blue,incong,red,1,0.904885609,3,L1
red,incong,blue,1,0.510575295,3,L1
green,incong,blue,1,0.9282586,3,L1
blue,cong,blue,1,0.563082614,3,L1
red,cong,red,1,1.432192593,3,L1
green,cong,green,1,0.597710259,3,L1
red,cong,red,1,0.660176911,3,L1
blue,cong,blue,1,0.577564925,3,L1
green,cong,green,1,0.53707003,3,L1
blue,incong,red,1,0.893223293,3,L1
red,cong,red,1,1.187375166,3,L1
green,cong,green,1,0.743272117,3,L1
green,incong,red,0,0.695493209,3,L1
blue,cong,blue,1,0.544192666,3,L1
green,incong,blue,0,0.936807595,3,L1
blue,incong,green,1,0.675265463,3,L1
red,incong,blue,1,1.34903856,3,L1
red,incong,green,1,1.544539139,3,L1
red,cong,red,1,1.003329669,3,L1
red,incong,green,0,1.433326209,4,L1
green,incong,blue,1,1.050412077,4,L1
green,cong,green,1,0.886749558,4,L1
blue,incong,red,1,0.556842149,4,L1
blue,incong,green,0,1.076226576,4,L1
blue,cong,blue,1,0.685095239,4,L1
red,cong,red,1,0.961335657,4,L1
green,cong,green,1,0.922236142,4,L1
blue,cong,blue,1,0.784279937,4,L1
green,incong,red,1,1.082587296,4,L1
red,cong,red,1,0.695033524,4,L1
red,incong,blue,1,0.8983661,4,L1
red,cong,red,1,1.098239607,4,L1
blue,incong,red,1,0.647500124,4,L1
green,cong,green,1,0.689418651,4,L1
red,incong,green,1,1.255075579,4,L1
blue,cong,blue,1,1.250932107,4,L1
blue,incong,green,1,1.356217057,4,L1
red,incong,blue,1,1.078349298,4,L1
