College,FemaleApps,MaleApps,FemaleOffers,MaleOffers,FemaleAccept,MaleAccept,TradWomen,Endowment
Christ's ,271,347,64,93,50,73,N,189464000
Churchill ,220,614,77,142,51,86,N,179969000
Clare ,427,323,93,89,71,70,N,315511565
Corpus Christi ,187,248,49,65,39,47,N,233030000
Downing ,391,360,88,83,62,66,N,195400000
Emmanuel ,399,401,82,80,70,66,N,276129510
Fitzwilliam ,275,385,79,98,58,73,N,144993000
Girton ,165,347,88,95,68,73,E,152179000
Gonville and Caius ,409,446,96,107,69,88,N,337917000
Homerton ,236,375,115,119,92,86,N,192072000
Hughes Hall ,145,186,26,61,20,46,N,43727997
Jesus ,445,521,74,84,68,77,N,336826910
King's ,434,460,76,81,61,63,N,363018000
Lucy Cavendish ,236,0,47,0,37,0,Y,43945000
Magdalene ,168,256,59,75,46,60,N,171100000
Murray Edwards ,373,0,165,0,104,0,Y,74812930
Newnham ,434,0,160,0,119,0,Y,207371289
Pembroke ,378,424,83,76,66,63,N,184480000
Peterhouse ,166,241,47,63,37,47,N,326980000
Queens' ,425,478,91,102,74,77,N,113870000
Robinson ,146,354,60,100,47,78,N,93458000
Selwyn ,300,312,88,68,63,56,N,116267000
Sidney Sussex ,207,251,58,78,43,65,N,133288000
St Catharine's ,503,543,76,88,64,70,N,116584000
St Edmund's ,82,189,18,34,16,22,N,40296000
St John's ,360,502,92,118,72,96,N,818000000
Trinity ,404,809,90,178,69,142,N,1474875000
Trinity Hall ,254,251,65,64,53,47,N,317171000
Wolfson ,128,186,22,34,14,25,N,67286000
,8568,9809,,,,,,
